工作表,媒体类型,模型名称,模型ID,1K,2K,4K,其他规格,供应商,菜单最低,计算依据,KIE成本状态,KIE成本来源,来源链接,备注,360p,480p,540p,720p,1080p,其他/固定规格,计费方式
视频模型,视频,Grok 1.5 Video,grok-1-5-video,,,,,xAI,3+ 积分,480p × 1秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/grok-imagine-video-1.5,KIE官网价格：480p 每输出秒 $0.008，720p 每输出秒 $0.015。,,"每输出秒:
KIE API成本 $0.0080 / 输出秒
Toolaze收入 $0.0150 / 输出秒
Toolaze定价 3 积分 / 输出秒
成本率 53.3%
毛利率 46.7%",,"每输出秒:
KIE API成本 $0.0150 / 输出秒
Toolaze收入 $0.0300 / 输出秒
Toolaze定价 6 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,,按输出秒计费
视频模型,视频,Seedance 2.0,seedance-2,,,"每输出秒:
KIE API成本 $1.0400 / 输出秒
Toolaze收入 $2.0800 / 输出秒
Toolaze定价 416 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,ByteDance,190+ 积分,480p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedance-2-0,KIE模型页 pricingDesc：本表按 no video 输出秒成本映射；with video 输入成本另低于 no video。,,"每输出秒:
KIE API成本 $0.0950 / 输出秒
Toolaze收入 $0.1900 / 输出秒
Toolaze定价 38 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,"每输出秒:
KIE API成本 $0.2050 / 输出秒
Toolaze收入 $0.4100 / 输出秒
Toolaze定价 82 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.5100 / 输出秒
Toolaze收入 $1.0200 / 输出秒
Toolaze定价 204 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Seedance 2.0 Mini,seedance-2-mini,,,,,ByteDance,95+ 积分,480p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedance-2-0-mini,KIE模型页 pricingDesc：本表按 no video 输出秒成本映射；with video 输入成本另低于 no video。,,"每输出秒:
KIE API成本 $0.0475 / 输出秒
Toolaze收入 $0.0950 / 输出秒
Toolaze定价 19 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,"每输出秒:
KIE API成本 $0.1025 / 输出秒
Toolaze收入 $0.2050 / 输出秒
Toolaze定价 41 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,,按输出秒计费
视频模型,视频,Seedance 2.0 Fast,seedance-2-fast,,,"每输出秒:
KIE页面未列出该规格成本
Toolaze定价待确认
成本率待确认
毛利率待确认

原生音频 / 每输出秒:
KIE页面未列出该规格成本
Toolaze定价待确认
成本率待确认
毛利率待确认",,ByteDance,155+ 积分,480p × 5秒,KIE官网已核实; KIE页面未列出该规格公开价格,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedance-2-5,KIE模型页仅列出普通 480p / 720p 成本；1080p、4K 和原生音频成本未列出，因此前后端暂不开放这些未定价规格。,,"每输出秒:
KIE API成本 $0.0775 / 输出秒
Toolaze收入 $0.1550 / 输出秒
Toolaze定价 31 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE页面未列出该规格成本
Toolaze定价待确认
成本率待确认
毛利率待确认",,"每输出秒:
KIE API成本 $0.1650 / 输出秒
Toolaze收入 $0.3300 / 输出秒
Toolaze定价 66 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE页面未列出该规格成本
Toolaze定价待确认
成本率待确认
毛利率待确认","每输出秒:
KIE页面未列出该规格成本
Toolaze定价待确认
成本率待确认
毛利率待确认

原生音频 / 每输出秒:
KIE页面未列出该规格成本
Toolaze定价待确认
成本率待确认
毛利率待确认",,按输出秒计费; 暂不开放未核实成本的1080p、4K和原生音频规格
视频模型,视频,Seedance 1.5 Pro,seedance-1-5-pro,,,,,ByteDance,16+ 积分,480p × 4秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedance-1-5-pro,KIE模型页 pricingDesc：no audio 映射普通视频成本，with audio 映射原生音频成本。,,"每输出秒:
KIE API成本 $0.0088 / 输出秒
Toolaze收入 $0.0200 / 输出秒
Toolaze定价 4 积分 / 输出秒
成本率 44.0%
毛利率 56.0%

原生音频 / 每输出秒:
KIE API成本 $0.0175 / 输出秒
Toolaze收入 $0.0350 / 输出秒
Toolaze定价 7 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,"每输出秒:
KIE API成本 $0.0175 / 输出秒
Toolaze收入 $0.0350 / 输出秒
Toolaze定价 7 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE API成本 $0.0350 / 输出秒
Toolaze收入 $0.0700 / 输出秒
Toolaze定价 14 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.0375 / 输出秒
Toolaze收入 $0.0750 / 输出秒
Toolaze定价 15 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE API成本 $0.0750 / 输出秒
Toolaze收入 $0.1500 / 输出秒
Toolaze定价 30 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费; 原生音频按输出秒计费
视频模型,视频,Seedance 1.0 Pro Fast,seedance-1-pro-fast,,,,,ByteDance,32+ 积分,720p × 5秒 × 1个视频,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/seedance-1-0-pro-fast,KIE模型页 pricingDesc：按固定时长单个视频计费，分别列出 720p/1080p 的 5秒与10秒成本。,,,,"5秒单个视频:
KIE API成本 $0.0800 / 个视频
Toolaze收入 $0.1600 / 个视频
Toolaze定价 32 积分 / 个视频
成本率 50.0%
毛利率 50.0%

10秒单个视频:
KIE API成本 $0.1800 / 个视频
Toolaze收入 $0.3600 / 个视频
Toolaze定价 72 积分 / 个视频
成本率 50.0%
毛利率 50.0%","5秒单个视频:
KIE API成本 $0.1800 / 个视频
Toolaze收入 $0.3600 / 个视频
Toolaze定价 72 积分 / 个视频
成本率 50.0%
毛利率 50.0%

10秒单个视频:
KIE API成本 $0.3600 / 个视频
Toolaze收入 $0.7200 / 个视频
Toolaze定价 144 积分 / 个视频
成本率 50.0%
毛利率 50.0%",,按固定时长单个视频计费
视频模型,视频,Seedance 1.0 Pro,seedance-1-pro,,,,,ByteDance,30+ 积分,480p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/bytedance/seedance-v1,KIE模型页 pricingDesc：按输出秒计费，480p $0.014/s、720p $0.030/s、1080p $0.070/s。,,"每输出秒:
KIE API成本 $0.0140 / 输出秒
Toolaze收入 $0.0300 / 输出秒
Toolaze定价 6 积分 / 输出秒
成本率 46.7%
毛利率 53.3%",,"每输出秒:
KIE API成本 $0.0300 / 输出秒
Toolaze收入 $0.0600 / 输出秒
Toolaze定价 12 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.0700 / 输出秒
Toolaze收入 $0.1400 / 输出秒
Toolaze定价 28 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Seedance 1.0 Lite,seedance-1-lite,,,,,ByteDance,20+ 积分,480p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/bytedance/seedance-v1,KIE模型页 pricingDesc：按输出秒计费，480p $0.010/s、720p $0.0225/s、1080p $0.050/s。,,"每输出秒:
KIE API成本 $0.0100 / 输出秒
Toolaze收入 $0.0200 / 输出秒
Toolaze定价 4 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,"每输出秒:
KIE API成本 $0.0225 / 输出秒
Toolaze收入 $0.0450 / 输出秒
Toolaze定价 9 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.0500 / 输出秒
Toolaze收入 $0.1000 / 输出秒
Toolaze定价 20 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Wan 2.7,wan-2-7,,,,,Alibaba,64+ 积分,720p × 2秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/wan-2-7-video,KIE模型页 pricingDescCn：720p $0.08/s，1080p $0.12/s。,,,,"每输出秒:
KIE API成本 $0.0800 / 输出秒
Toolaze收入 $0.1600 / 输出秒
Toolaze定价 32 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.1200 / 输出秒
Toolaze收入 $0.2400 / 输出秒
Toolaze定价 48 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Wan 2.6,wan-2-6,,,,,Alibaba,140+ 积分,720p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/wan-2-6,KIE模型页 pricingDesc：按固定 5/10/15 秒价格线性折算为 720p $0.07/s、1080p 约 $0.105/s。,,,,"每输出秒:
KIE API成本 $0.0700 / 输出秒
Toolaze收入 $0.1400 / 输出秒
Toolaze定价 28 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.1050 / 输出秒
Toolaze收入 $0.2100 / 输出秒
Toolaze定价 42 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Wan 2.5,wan-2-5,,,,,Alibaba,120+ 积分,720p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/wan-2-5,KIE模型页 pricingDesc：720p $0.06/s，1080p $0.10/s。,,,,"每输出秒:
KIE API成本 $0.0600 / 输出秒
Toolaze收入 $0.1200 / 输出秒
Toolaze定价 24 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.1000 / 输出秒
Toolaze收入 $0.2000 / 输出秒
Toolaze定价 40 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Wan 2.2,wan-2-2,,,,,Alibaba,16+ 积分,480p × 5秒 × 1个视频,KIE价格已找到但与当前表规格口径不匹配; KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/wan/v2-2,KIE模型页 pricingDesc：720p $0.08/s；580p $0.06/视频；480p $0.04/视频。480p 与 Toolaze 当前按秒计费不一致，因此只展示成本不计算毛利率。,,"5秒单个视频:
KIE API成本 $0.0400 / 个视频
Toolaze收入 $0.0800 / 个视频
Toolaze定价 16 积分 / 个视频
成本率 50.0%
毛利率 50.0%",,"每输出秒:
KIE API成本 $0.0800 / 输出秒
Toolaze收入 $0.1600 / 输出秒
Toolaze定价 32 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,,480p按单个5秒视频计费; 720p按输出秒计费
视频模型,视频,Kling 3 Turbo,kling-3-turbo,,,,,Kuaishou,180+ 积分,720p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/kling-3-0-turbo,KIE模型页 pricingDesc：720p $0.09/s，1080p $0.1125/s。,,,,"每输出秒:
KIE API成本 $0.0900 / 输出秒
Toolaze收入 $0.1800 / 输出秒
Toolaze定价 36 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.1125 / 输出秒
Toolaze收入 $0.2250 / 输出秒
Toolaze定价 45 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Kling 3.0,kling-3,,,"每输出秒:
KIE API成本 $0.3350 / 输出秒
Toolaze收入 $0.6700 / 输出秒
Toolaze定价 134 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,Kuaishou,84+ 积分,720p × 3秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/kling-3-0,KIE模型页 pricingDesc：Standard no-audio $0.07/s、with audio $0.10/s；Pro no-audio $0.09/s、with audio $0.135/s；4K $0.335/s。,,,,"每输出秒:
KIE API成本 $0.0700 / 输出秒
Toolaze收入 $0.1400 / 输出秒
Toolaze定价 28 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE API成本 $0.1000 / 输出秒
Toolaze收入 $0.2000 / 输出秒
Toolaze定价 40 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.0900 / 输出秒
Toolaze收入 $0.1800 / 输出秒
Toolaze定价 36 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE API成本 $0.1350 / 输出秒
Toolaze收入 $0.2700 / 输出秒
Toolaze定价 54 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费; 原生音频按输出秒计费
视频模型,视频,Kling 2.6,kling-2-6,,,,,Kuaishou,110+ 积分,720p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/kling-2-6,KIE模型页 pricingDesc：HD no-audio 5秒 $0.28 / 10秒 $0.55，折算约 $0.055/s；with audio 5秒 $0.55 / 10秒 $1.10，折算 $0.11/s。,,,,"每输出秒:
KIE API成本 $0.0550 / 输出秒
Toolaze收入 $0.1100 / 输出秒
Toolaze定价 22 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE API成本 $0.1100 / 输出秒
Toolaze收入 $0.2200 / 输出秒
Toolaze定价 44 积分 / 输出秒
成本率 50.0%
毛利率 50.0%","每输出秒:
KIE API成本 $0.0550 / 输出秒
Toolaze收入 $0.1100 / 输出秒
Toolaze定价 22 积分 / 输出秒
成本率 50.0%
毛利率 50.0%

原生音频 / 每输出秒:
KIE API成本 $0.1100 / 输出秒
Toolaze收入 $0.2200 / 输出秒
Toolaze定价 44 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费; 原生音频按输出秒计费
视频模型,视频,Kling 2.6 Motion Control,kling-2-6-motion-control,,,,,Kuaishou,66+ 积分,720p × 3秒（参考视频最短时长）,KIE 独立成本待核实,KIE 模型页参数已核实; 独立 pricing/registry 成本待核实; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/kling-2.6-motion-control,KIE页面参数支持 Image 3-10秒 / Video 3-30秒；当前 Toolaze 暂按 Kling 2.6 标准无音频成本 $0.055/s 映射 22 credits/s，不能视为 Motion Control 独立成本已核实。,,,,"每输出秒:
KIE独立成本待核实
Toolaze临时收入 $0.1100 / 输出秒
Toolaze临时定价 22 积分 / 输出秒
成本率待确认
毛利率待确认","每输出秒:
KIE独立成本待核实
Toolaze临时收入 $0.1100 / 输出秒
Toolaze临时定价 22 积分 / 输出秒
成本率待确认
毛利率待确认",,按上传参考视频的有效时长向上取整后计费；Image 3-10秒，Video 3-30秒
视频模型,视频,Kling 2.5 Turbo Pro,kling-2-5,,,,,Kuaishou,85+ 积分,1080p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/kling-2-5,KIE模型页 pricingDesc：5秒 $0.21、10秒 $0.42，折算 $0.042/s。,,,,,"每输出秒:
KIE API成本 $0.0420 / 输出秒
Toolaze收入 $0.0850 / 输出秒
Toolaze定价 17 积分 / 输出秒
成本率 49.4%
毛利率 50.6%",,按输出秒计费
视频模型,视频,Kling 2.1 Master,kling-2-1,,,,,Kuaishou,320+ 积分,1080p × 5秒,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/kling/v2-1,KIE模型页 pricingDesc：5秒 $0.80、10秒 $1.60，折算 $0.16/s。,,,,,"每输出秒:
KIE API成本 $0.1600 / 输出秒
Toolaze收入 $0.3200 / 输出秒
Toolaze定价 64 积分 / 输出秒
成本率 50.0%
毛利率 50.0%",,按输出秒计费
视频模型,视频,Veo 3.1 Lite,veo-3-1-lite,,,,,Google,30+ 积分,720p × 1个视频,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/veo-3-1,KIE模型页 pricingDescCn：Lite 720p $0.075/视频，1080p $0.1125/视频。,,,,"单个视频:
KIE API成本 $0.0750 / 个视频
Toolaze收入 $0.1500 / 个视频
Toolaze定价 30 积分 / 个视频
成本率 50.0%
毛利率 50.0%","单个视频:
KIE API成本 $0.1125 / 个视频
Toolaze收入 $0.2250 / 个视频
Toolaze定价 45 积分 / 个视频
成本率 50.0%
毛利率 50.0%",,按单个视频计费
视频模型,视频,Veo 3.1 Fast,veo-3-1-fast,,,,,Google,60+ 积分,720p × 1个视频,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/veo-3-1,KIE模型页 pricingDescCn：Fast 720p $0.15/视频，1080p $0.1875/视频。,,,,"单个视频:
KIE API成本 $0.1500 / 个视频
Toolaze收入 $0.3000 / 个视频
Toolaze定价 60 积分 / 个视频
成本率 50.0%
毛利率 50.0%","单个视频:
KIE API成本 $0.1875 / 个视频
Toolaze收入 $0.3750 / 个视频
Toolaze定价 75 积分 / 个视频
成本率 50.0%
毛利率 50.0%",,按单个视频计费
视频模型,视频,Veo 3.1 Quality,veo-3-1-quality,,,,,Google,450+ 积分,720p × 1个视频,KIE官网已核实,KIE官方价格页; functions/_shared/generation-credits.mjs; src/lib/generation-credits.ts,https://kie.ai/veo-3-1,KIE模型页 pricingDescCn：Quality 720p $1.125/视频，1080p $1.1625/视频。,,,,"单个视频:
KIE API成本 $1.1250 / 个视频
Toolaze收入 $2.2500 / 个视频
Toolaze定价 450 积分 / 个视频
成本率 50.0%
毛利率 50.0%","单个视频:
KIE API成本 $1.1625 / 个视频
Toolaze收入 $2.3250 / 个视频
Toolaze定价 465 积分 / 个视频
成本率 50.0%
毛利率 50.0%",,按单个视频计费
